37 3
32	0.00		-1.22
37	2.78		0.30
42	5.56		-1.38
47	8.33		14.95
52	11.11		8.60
57	13.89		20.70
62	16.67		14.34
67	19.44		21.98
72	22.22		16.93
77	25.00		24.60
82	27.78		29.33
87	30.56		33.25
92	33.33		27.25
97	36.11		39.48
102	38.89		44.07
107	41.67		37.49
112	44.44		47.13
117	47.22		51.91
122	50.00		53.05
127	52.78		54.84
132	55.56		61.53
137	58.33		65.01
142	61.11		62.07
147	63.89		64.15
152	66.67		71.01
157	69.44		73.64
162	72.22		71.83
167	75.00		67.56
172	77.78		80.52
177	80.56		84.58
182	83.33		79.41
187	86.11		84.14
192	88.89		92.21
197	91.67		94.09
202	94.44		89.86
207	97.22		100.45
212	100.00		100.96
